« id	category	type	priority	tema	temasSecundarios	banderas	porQue »
EC#3703	maintenance	claim	high	agua			Sin nada de agua, con antecedente el mismo día. Servicio esencial caído.
EC#3608	billing	claim	high	cuotas_pagos	agua	enfado	Cortaron el agua por falta de pago del edificio. Reclama la irregularidad del servicio.
EC#2731	billing	claim	high	cuotas_pagos	luz_electricidad	enfado	Suspendieron la luz por falta de pago. Servicio esencial caído por causa administrativa.
EC#3042	maintenance	claim	high	luz_electricidad			Sin luz en el edificio pese a que la red pública ya está habilitada.
EC#3248	maintenance	claim	medium	luz_electricidad		sin_contexto	Informa que la luz volvió pero siguen sin servicio. Contradicción que necesita el hilo.
EC#2627	maintenance	claim	high	accesos_estacionamiento	seguridad_porteria		La puerta del parqueadero quedó abierta. Seguridad comprometida.
EC#3403	maintenance	claim	high	accesos_estacionamiento	luz_electricidad		La puerta no cierra con el control y pregunta si quedará abierta de noche.
EC#2202	maintenance	claim	medium	accesos_estacionamiento			Los controles remotos siguen sin abrir. Reclamo por falta de solución.
EC#3119	maintenance	claim	medium	accesos_estacionamiento			La puerta suena y pide arreglarla antes de que se dañe más.
EC#2553	maintenance	claim	medium	accesos_estacionamiento	luz_electricidad		No funcionan las luces de ingreso al parqueadero.
EC#3303	pqrs	petition	medium	accesos_estacionamiento			Pide instrucciones para abrir el parqueadero a mano porque necesita salir.
EC#22	pqrs	complaint	medium	accesos_estacionamiento			Un vehículo dejado encendido es conducta de un vecino, no una avería del edificio.
EC#1556	pqrs	other	low	accesos_estacionamiento			Informa de un vehículo con la puerta abierta. Aviso vecinal.
EC#890	pqrs	complaint	high	accesos_estacionamiento			El objeto es la conducta de una vecina identificada, no el parqueadero. El árbol corrigió a los dos anotadores.
EC#1410	pqrs	petition	low	asamblea_administracion			Pide el acta de la última reunión y explica que quedaron desinformados.
EC#3933	pqrs	complaint	medium	asamblea_administracion		enfado	Reprocha que no le entreguen un documento pedido hace días. Conducta de una persona.
EC#3738	pqrs	complaint	medium	asamblea_administracion			Recuerda un compromiso incumplido de la administradora y pide fecha.
EC#3886	pqrs	complaint	medium	asamblea_administracion		enfado	Cuestiona la hora de convocatoria e invoca una asamblea declarada nula.
EC#2086	pqrs	suggestion	medium	asamblea_administracion			Propone convocar una asamblea extraordinaria urgente.
EC#1125	pqrs	suggestion	low	asamblea_administracion			Propone que las asambleas sean virtuales.
EC#2943	pqrs	petition	low	asamblea_administracion			Someter a votación es pedir que los demás voten. Corregido por el árbol: antes se leyó como constancia.
EC#1882	pqrs	complaint	high	obra_mantenimiento	agua	enfado	Siete semanas sin resolver; le dice a la administradora que es su responsabilidad.
EC#1901	pqrs	petition	medium	obra_mantenimiento			Pregunta si vino el plomero para atender el daño en su departamento.
EC#3166	pqrs	petition	low	obra_mantenimiento	accesos_estacionamiento		Pide información sobre el mantenimiento de la puerta.
EC#1464	maintenance	claim	medium	obra_mantenimiento	amenidades		El color de la pintura no coincide con la muestra. Trabajo mal ejecutado.
EC#1900	pqrs	claim	medium	agua	obra_mantenimiento		Reclama que el problema siga sin solución tras meses: incumplimiento del servicio, sin señalar a nadie.
EC#3150	maintenance	claim	low	luz_electricidad	elevadores	multi_tema	Focos quemados y ambientador agotado: reporta fallos concretos y pide reemplazo.
EC#4022	maintenance	claim	medium	agua	accesos_estacionamiento		Reporta una fuga de agua en una tubería del parqueadero con imágenes.
EC#3851	maintenance	claim	medium	agua			Ve agua fuera del cuarto de bombas. Indicio de fuga sin diagnosticar.
EC#2359	maintenance	claim	low	agua			Una llave tirada junto a la cisterna. Reporte menor de estado.
EC#74	maintenance	claim	low	agua	convivencia_ruido		Las tuberías suenan de noche al abrir las llaves.
EC#3719	pqrs	claim	medium	agua	convivencia_ruido		La bomba opera con ruido atípico y puede dañarse: reporta el fallo, la pregunta es el remedio.
EC#3721	pqrs	other	low	agua	luz_electricidad		Hipótesis de una vecina sobre por qué el medidor corre más rápido.
EC#3282	pqrs	suggestion	medium	agua	luz_electricidad		Propone apagar calentadores eléctricos mientras opera el generador.
EC#2401	pqrs	suggestion	low	elevadores	luz_electricidad		Sugiere evitar el ascensor para ahorrar energía. Sugerencia limpia y explícita.
EC#467	pqrs	claim	low	limpieza_basura	elevadores		Las paredes del ascensor están manchadas pese a los protocolos de limpieza.
EC#1807	pqrs	complaint	low	convivencia_ruido	elevadores		La mascota de alguien se orinó en el ascensor: conducta de su dueño, no fallo del ascensor.
EC#1577	pqrs	complaint	low	convivencia_ruido			Reporta un hecho causado por la mascota de alguien. Conducta, aunque el dueño no esté identificado.
EC#1150	pqrs	complaint	low	convivencia_ruido			Exige en mayúsculas que el dueño de la mascota limpie. Conducta de una persona.
EC#443	pqrs	complaint	medium	convivencia_ruido	amenidades	enfado	Alguien vomitó por la ventana hacia su terraza; apela a la responsabilidad de los padres.
EC#288	pqrs	complaint	low	limpieza_basura	seguridad_porteria	enfado	Responde con sarcasmo e invita a revisar las cámaras. Tono agresivo entre vecinos.
EC#231	pqrs	other	low	limpieza_basura			Explica los días del recolector. Aporte informativo.
EC#162	pqrs	suggestion	low	limpieza_basura	convivencia_ruido		Pide mantener la limpieza tras cualquier derrame.
EC#2090	pqrs	suggestion	medium	seguridad_porteria			Propone una cámara cerca del panel para identificar a quien timbra, tras un incidente.
EC#2763	pqrs	suggestion	medium	seguridad_porteria	asamblea_administracion		Solicita instalar una contrapuerta metálica como medida adicional.
EC#2114	pqrs	suggestion	low	seguridad_porteria			Propone una multa disuasoria para que se cumplan las medidas.
EC#2036	pqrs	suggestion	medium	seguridad_porteria			Propone contratar un guardia al menos en turno de doce horas.
EC#96	pqrs	complaint	medium	seguridad_porteria	obra_mantenimiento	enfado	Reprocha que no se haya invertido en seguridad y exige ejecutar lo aprobado.
EC#2259	pqrs	claim	medium	seguridad_porteria	asamblea_administracion		Reclama que la guardianía no detectó el vehículo en los monitores: servicio que falló, no persona señalada.
EC#1827	pqrs	claim	high	seguridad_porteria	accesos_estacionamiento		Pide desactivar accesos de un arrendatario saliente y avisa de una puerta abierta.
EC#53	pqrs	petition	medium	seguridad_porteria	luz_electricidad		Pide el estado de las mejoras de seguridad comprometidas.
EC#1260	billing	claim	low	cuotas_pagos			No reciben la planilla física hace meses pese a tener el pago programado.
EC#3812	billing	claim	medium	cuotas_pagos	luz_electricidad		Le cortaron la luz pese a pagar por débito bancario. Posible error de cobro.
EC#445	billing	suggestion	low	cuotas_pagos	amenidades		Propone incluir las terrazas en la desinfección porque están en la alícuota.
EC#3631	pqrs	complaint	medium	cuotas_pagos		enfado	Reprocha al grupo que solo haya quejas y ninguna colaboración.
EC#1270	billing	claim	medium	cuotas_pagos			Cuestiona un cobro alto frente al histórico que venían pagando.
EC#772	pqrs	other	low	amenidades			Encontró un objeto ajeno en su terraza y dice dónde lo dejó.
EC#1510	pqrs	claim	medium	amenidades	obra_mantenimiento		Trabajadores en el techo de su terraza sin avisar; se llevaron un susto.
EC#2615	pqrs	petition	low	accesos_estacionamiento	convivencia_ruido		Pide ayuda para arrancar su auto. Petición entre vecinos.
